Cluster_ID,Num_Compounds,Intra_Similarity,Inter_Similarity,Homogeneity
22,2,1.0,0.08344437004816772,11.984031989489003
19,2,1.0,0.08851540717612161,11.297468225054557
6,5,1.0,0.04740458947306171,21.095003903962997
4,5,1.0,0.15026038071997755,6.655114243744539
23,2,1.0,0.09870017889010045,10.131693896051278
9,3,1.0,0.037909330304213604,26.378730301359358
24,2,1.0,0.1148341166999305,8.708213453786293
10,3,1.0,0.04456883357145856,22.43720375577408
12,3,1.0,0.11754503592195628,8.50737755241274
21,2,1.0,0.09369722302497127,10.67267489596239
13,2,0.85,0.14717167130790199,5.775568031850988
18,2,0.782608695652174,0.13289199053427292,5.889058418839311
16,2,0.76,0.12634635771304376,6.015210994258357
14,2,0.7380952380952381,0.12232832695963194,6.033722985018898
3,5,0.7273913043478262,0.15454348041763386,4.706709738787717
17,2,0.7,0.08771218725833248,7.980646953180402
15,2,0.7,0.0966881468675527,7.239770568349893
25,2,0.7,0.13812189540472156,5.06798721483568
5,5,0.6794871794871795,0.13198285019706438,5.148299028795281
11,3,0.6723039215686274,0.15125563740429973,4.444818937700737
8,4,0.6580047789725209,0.12032103243928774,5.468742792782638
7,4,0.6422224038356761,0.09977595363467812,6.436645107769387
20,2,0.6129032258064516,0.11238542839642103,5.453582680172173
0,19,0.5951674997777399,0.15017761278163744,3.9630906947704014
1,15,0.5609709758058125,0.1559946451009835,3.596091234046314
2,7,0.5178943409677138,0.15988108852866037,3.239247028737084
