Name,R.T. (min),Similarity,Formula,Area,Peak S/N,Base Mass,Area_percent,SMILES,PubChem_CID,Mol,Antioxidant,Antimicrobial,Cytotoxic,FP,Cluster,is_antioxidant,is_antimicrobial,is_cytotoxic
"Cyclohexene, 1,5,5-trimethyl-6-(2-propenylidene)-",16.8408,617.0,C12H18,324266,39,45.07,0.03716002226970182,CC1=CCCC(C1=CC=C)(C)C,5372935.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a860a0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a951c0>,124,False,True,False
"2,3-Dihydro-1,3-dimethyl(1H)cyclopenta[b]quinoxaline",16.8683,694.0,C13H14N2,81660,32,183.17,0.009358019090943392,CC1CC(C2=NC3=CC=CC=C3N=C12)C,603342.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a86110>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a95230>,125,False,True,False
"2-Cyclohexen-1-one, 4-(3-hydroxybutyl)-3,5,5-trimethyl-",17.2306,608.0,C13H22O2,98813,29,95.09,0.011323707328354022,CC1=CC(=O)CC(C1CCC(C)O)(C)C,118284.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a862d0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a953f0>,126,True,True,False
"2-Cyclohexen-1-one, 4-hydroxy-3,5,6-trimethyl-4-(3-oxo-1-butenyl)-",18.2489,790.0,C13H18O3,718636,277,124.09,0.08235377672592696,CC1C(C(C(=CC1=O)C)(C=CC(=O)C)O)C,5371378.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a86b20>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a95c40>,140,True,True,False
Neophytadiene,18.4499,906.0,C20H38,597594,130,68.1,0.06848268504326752,CC(C)CCCC(C)CCCC(C)CCCC(=C)C=C,10446.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a86ce0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a95e00>,142,False,True,False
"3,7,11,15-Tetramethyl-2-hexadecen-1-ol",18.8425,832.0,C20H40O,534776,59,82.11,0.06128390910333509,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,5366244.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a86f10>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a96030>,23,True,True,False
"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",19.1462,862.0,C20H32,1552315,139,69.11,0.1778911756693337,CC(=CCCC(=CCCC(=CCCC(=C)C=C)C)C)C,5365895.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87220>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a96340>,147,False,True,False
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",19.1704,744.0,C17H24O3,824554,68,57.11,0.09449169818165243,CC(C)(C)C1=CC2(CCC(=O)O2)C=C(C1=O)C(C)(C)C,545303.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87290>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a963b0>,148,False,True,False
"2,4,6-Tris(1,1-dimethylethyl)-4-methylcyclohexa-2,5-dien-1-one",20.0516,636.0,C19H32O,347301,142,205.14,0.03979977208307287,CC1(C=C(C(=O)C(=C1)C(C)(C)C)C(C)(C)C)C(C)(C)C,609653.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87920>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a96a40>,151,False,True,False
Phytol,20.7475,919.0,C20H40O,3881671,236,71.09,0.44482918592654086,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,5280435.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87e60>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a96f80>,23,True,True,False
"2,2,4,5-Tetramethyl-5-hexen-3-one",21.9402,695.0,C10H18O,803094,29,57.11,0.09203243918469377,CC(C(=C)C)C(=O)C(C)(C)C,11815964.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a886d0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a97760>,160,False,True,False
"Bicyclo[2.2.1]hept-2-ene, 2,7,7-trimethyl-",22.9776,655.0,C10H16,1146258,57,93.1,0.13135812205665676,CC1=CC2CCC1C2(C)C,564720.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a88ba0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a97c30>,166,False,True,False
