"Spectrum","Time","AIC"
118,431.79923808,323122.6980962041
119,431.89923168,378163.986510199
120,431.99922528,436542.8379486067
121,432.09921888,497360.0166199971
122,432.19921248,559684.0219980123
123,432.29920608,622576.6123567969
124,432.39919968,685110.7317625473
125,432.49919328,746382.6797073076
126,432.59918688,805520.0428770584
127,432.69918048,862144.0458511788
128,432.79917408,915859.5115931657
129,432.89916768,966418.5617235127
130,432.99916128,1013708.625689926
131,433.09915488,1057785.584946771
132,433.19914848,1098985.661015175
133,433.29914208,1138023.47114083
134,433.39913568,1176003.647115352
135,433.49912928,1214025.359551355
136,433.59912288,1252551.70803251
137,433.69911648,1291092.332050415
138,433.79911008,1328517.544281207
139,433.89910368,1363684.898198489
140,433.99909728,1395837.052266448
141,434.09909088,1424585.7452555
142,434.19908448,1449619.272233973
143,434.29907808,1470286.988298953
144,434.39907168,1485301.527841327
145,434.49906528,1492667.657079968
146,434.59905888,1490482.628396254
147,434.69905248,1478158.017778274
148,434.79904608,1457048.722941467
149,434.89903968,1429811.857710102
150,434.99903328,1399141.449345418
151,435.09902688,1366952.074627723
152,435.19902048,1334349.298555903
153,435.29901408,1302026.406297123
154,435.39900768,1270687.488535996
155,435.49900128,1241293.558456294
156,435.59899488,1215129.287492383
157,435.69898848,1193359.61580725
158,435.79898208,1176457.648920904
159,435.89897568,1163885.069037311
160,435.99896928,1154422.248042799
161,436.09896288,1146809.282304799
162,436.19895648,1140162.322633466
163,436.29895008,1134001.884662574
164,436.39894368,1128088.058782621
165,436.49893728,1122278.39754
166,436.59893088,1116464.034791612
167,436.69892448,1110549.510673291
168,436.79891808,1104481.949610292
169,436.89891168,1098225.394579749
170,436.99890528,1091764.318690547
171,437.09889888,1085097.347116697
172,437.19889248,1078232.007908887
173,437.29888608,1071180.848466106
174,437.39887968,1063958.590592701
175,437.49887328,1056579.650612422
176,437.59886688,1049058.11469353
177,437.69886048,1041407.539225839
178,437.79885408,1033640.797974676
179,437.89884768,1025770.034177662
180,437.99884128,1017806.70534227
181,438.09883488,1009761.684787989
182,438.19882848,1001645.422133907
183,438.29882208,993468.1593046762
184,438.39881568,985240.2463226874
185,438.49880928,976972.8111975383
186,438.59880288,968679.4809695533
187,438.69879648,960374.4267168734
188,438.79879008,952064.9147899351
189,438.89878368,943764.6862833112
190,438.99877728,935486.749351496
191,439.09877088,927243.2621701579
192,439.19876448,919045.4495070624
193,439.29875808,910903.5306729306
194,439.39875168,902826.6405647527
195,439.49874528,894822.7178640439
196,439.59873888,886898.2162422917
197,439.69873248,879057.2982031732
198,439.79872608,871302.8635820459
199,439.89871968,863650.3405659341
200,439.99871328,856100.4965856661
201,440.09870688,848653.6383567464
202,440.19870048,841309.7064921544
203,440.29869408,834068.3485367231
204,440.39868768,826928.9717037331
205,440.49868128,819890.7890023183
206,440.59867488,812952.852130609
207,440.69866848,806114.0851730432
208,440.79866208,799373.3069617433
209,440.89865568,792729.2530677606
210,440.99864928,786173.9154353247
211,441.09864288,779706.2534315678
212,441.19863648,773325.1706208636
213,441.29863008,767029.5284206421
214,441.39862368,760818.1494316513
215,441.49861728,754689.8309882344
216,441.59861088,748643.3504029651
217,441.69860448,742677.4716366061
218,441.79859808,736790.9494323132
219,441.89859168,730982.5341942025
220,441.99858528,725250.976108529
221,442.09857888,719595.0279887267
222,442.19857248,714013.4493616975
223,442.29856608,708505.0085048138
224,442.39855968,703068.4814731851
225,442.49855328,697702.6590443339
226,442.59854688,692406.3440863824
227,442.69854048,687178.3535561025
228,442.79853408,682017.5202576391
229,442.89852768,676922.6932781878
230,442.99852128,671892.7398353196
231,443.09851488,666926.543855688
232,443.19850848,662023.0081247492
233,443.29850208,657181.052829618
234,443.39849568,652399.6161482312
235,443.49848928,647677.6558638582
236,443.59848288,643014.1475506921
237,443.69847648,638408.0859226718
238,443.79847008,633858.4844851716
239,443.89846368,629364.3758145383
240,443.99845728,624924.8108509554
241,444.09845088,620538.8578735325
242,444.19844448,616205.6035202369
243,444.29843808,611924.1524643272
244,444.39843168,607693.6269885049
245,444.49842528,603513.1676433823
246,444.59841888,599381.9314506167
247,444.69841248,595299.0923617322
248,444.79840608,591263.8407131727
249,444.89839968,587275.3837769189
250,444.99839328,583332.9440646785
251,445.09838688,579435.7597492839
252,445.19838048,575583.0850379292
253,445.29837408,571774.1896065562
254,445.39836768,568008.3568925804
255,445.49836128,564284.8859819237
256,445.59835488,560603.0891182255
257,445.69834848,556962.2930715008
258,445.79834208,553361.8379940388
259,445.89833568,549801.0777464311
260,445.99832928,546279.3787729159
261,446.09832288,542796.1210470245
262,446.19831648,539350.6965402791
263,446.29831008,535942.5091445744
264,446.39830368,532570.9751388459
265,446.49829728,529235.5222241816
266,446.59829088,525935.5893684127
267,446.69828448,522670.6274531199
268,446.79827808,519440.0974807248
269,446.89827168,516243.4719031906
270,446.99826528,513080.2337097101
271,447.09825888,509949.8754095837
272,447.19825248,506851.8989738584
273,447.29824608,503785.8171658432
274,447.39823968,500751.152041327
275,447.49823328,497747.4344133574
276,447.59822688,494774.2053706878
277,447.69822048,491831.0138834749
278,447.79821408,488917.4176863686
