Name,R.T. (min),Similarity,Formula,Area,Peak S/N,Base Mass
"Cyclohexanol, 1-ethenyl-",11.2312,671,C8H14O,323596,63,70.08
"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",11.3353,722,C11H10O6,362577,17,207.07
"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",11.3645,613,C7H9NO2,157959,41,67.10
"2,6-Octadiene-4,5-diol, 3,6-dimethyl-",11.3749,627,C10H18O2,1048848,321,85.06
"Oxirane, (methoxymethyl)-",11.3751,633,C4H8O2,1218947,43,45.07
"Furan, 2-butyltetrahydro-",11.4065,757,C8H16O,412184,32,71.09
Peak 89,11.4293,,,2582453,70,71.12
Peak 90,11.4406,,,330821,40,91.08
"2-Decenal, (Z)-",11.4491,879,C10H18O,1876973,399,55.09
Peak 92,11.5041,,,17641,14,100.50
2-Methoxybenzyl alcohol,11.5959,835,C8H10O2,338287,99,77.07
Peak 94,11.6703,,,334851,45,67.10
Peak 95,11.6742,,,653025,69,71.09
"2-Methylbenzoic acid, 2,4-dichloronaphthyl-1 ester",11.7396,714,C18H12Cl2O2,211049,27,119.11
"Phenol, 4-ethyl-2-methoxy-",11.7563,860,C9H12O2,1754077,518,137.10
Peak 98,11.773,,,208138,37,105.07
Peak 99,11.7929,,,291395,19,60.06
Peak 100,11.8132,,,821491,52,109.10
Peak 101,11.8184,,,392848,33,81.11
"Furan, 2,3-dihydro-",11.8424,840,C4H6O,316471,13,70.11
"2-Hexanone, 5-methyl-",11.866,710,C7H14O,258464,51,58.08
"Cyclohexasiloxane, dodecamethyl-",11.9453,842,C12H36O6Si6,3108976,609,73.08
"Butane, 2,2-dimethyl-",11.9649,672,C6H14,267144,44,71.11
Peak 106,11.9819,,,134370,54,99.11
"Naphthalene, 1,2-dihydro-4-methyl-",12.0529,773,C11H12,179283,46,129.11
"1,4-dihydroxy-p-menth-2-ene",12.0991,726,C10H18O2,405836,115,109.10
