Name,R.T. (min),Similarity,Formula,Area,Peak S/N,Base Mass,Area_percent,SMILES,PubChem_CID,Mol,Antioxidant,Antimicrobial,Cytotoxic,FP,Cluster,is_antioxidant,is_antimicrobial,is_cytotoxic
"Bicyclo[2.2.1]heptan-2-ol, 6-tert-butyl-",12.3596,614.0,C11H20O,505029,141,55.09,0.057874981918687854,CC(C)(C)C1CC2CC1C(C2)O,549167.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84350>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b3e0>,80,True,False,False
"2-Methyl-5-(propan-2-ylidene)cyclohexane-1,4-diol",12.3686,815.0,C10H18O2,1699585,393,74.07,0.19476792648397043,CC1CC(C(=C(C)C)CC1O)O,91697160.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a843c0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b450>,81,True,True,False
"1,3-Diacetin",12.5621,814.0,C7H12O5,177836,46,103.07,0.020379533223818382,CC(=O)OCC(COC(=O)C)O,66924.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a845f0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b680>,84,True,False,False
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",12.7489,705.0,C16H30O4,1359012,233,71.09,0.1557391653296738,CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C,23284.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a846d0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b760>,20,False,False,False
Dasycarpidol,12.7897,602.0,C17H22N2O,17321,15,105.09,0.0019849405911612846,CCC1C2CCN(C1C3=C(C2O)NC4=CC=CC=C43)C,576461.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84740>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b7d0>,86,True,False,False
"1,2-Cyclohexanediol, 1-methyl-4-(1-methylethyl)-",12.8601,817.0,C10H20O2,764792,137,71.09,0.08764313172423192,CC(C)C1CCC(C(C1)O)(C)O,36574.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a847b0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b840>,87,True,False,False
"Propanoic acid, 2-methyl-, 3-hydroxy-2,2,4-trimethylpentyl ester",13.0469,880.0,C12H24O3,1511811,223,71.09,0.1732495248579258,CC(C)C(C(C)(C)COC(=O)C(C)C)O,6490.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84970>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8ba00>,20,True,False,False
Tetradecane,13.3408,904.0,C14H30,662114,85,57.11,0.07587650566226908,CCCCCCCCCCCCCC,12389.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84b30>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8bbc0>,5,False,False,False
"3-Hexyne-2,5-diol, 2,5-dimethyl-",13.5793,709.0,C8H14O2,652751,172,109.09,0.07480353073270132,CC(C)(C#CC(C)(C)O)O,8883.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84c80>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8bd10>,94,True,False,False
"Benzaldehyde, 2,4-dihydroxy-6-methyl-",13.794,835.0,C8H8O3,725446,182,151.08,0.08313418463689101,CC1=CC(=CC(=C1C=O)O)O,251690.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84d60>,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8bdf0>,96,True,False,False
"1,2,7,8-Octanetetrol",14.1836,662.0,C8H18O4,477570,97,55.08,0.054728253456549546,C(CCC(CO)O)CC(CO)O,103699.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84f20>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a94040>,97,True,False,False
"Ethanone, 1-(3-hydroxy-4-methoxyphenyl)-",14.8095,836.0,C9H10O3,268992,136,151.08,0.0308257686910488,CC(=O)C1=CC(=C(C=C1)OC)O,95693.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a85540>,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a94660>,107,True,False,False
"Phenol, 3,5-bis(1,1-dimethylethyl)-",14.834,810.0,C14H22O,659145,90,191.19,0.07553626614866375,CC(C)(C)C1=CC(=CC(=C1)O)C(C)(C)C,70825.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a85620>,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a94740>,108,True,False,False
"(1S,2S,4S)-Trihydroxy-p-menthane",14.8789,797.0,C10H20O3,262119,96,71.08,0.03003814114742825,CC(C)C1(CCC(C(C1)O)(C)O)O,5326310.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a85690>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a947b0>,109,True,False,False
Butanoic acid,15.485,708.0,C4H8O2,208348,35,60.06,0.02387612737643735,CCCC(=O)O,264.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a85850>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a94970>,0,True,False,False
"Phenol, 4-pentyl-",15.5867,666.0,C11H16O,113208,24,107.08,0.012973336091691396,CCCCCC1=CC=C(C=C1)O,26975.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a85930>,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a94a50>,114,True,False,False
4-Vinylbenzoic acid,16.3084,764.0,C9H8O2,73434,30,148.1,0.00841534134122382,C=CC1=CC=C(C=C1)C(=O)O,14098.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a85d20>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a94e40>,117,True,False,False
2-Heptanone,16.9816,719.0,C7H14O,378413,87,58.08,0.04336512464194418,CCCCCC(=O)C,8051.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a86180>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a952a0>,0,False,False,False
"2-Cyclohexen-1-one, 4-(3-hydroxybutyl)-3,5,5-trimethyl-",17.2306,608.0,C13H22O2,98813,29,95.09,0.011323707328354022,CC1=CC(=O)CC(C1CCC(C)O)(C)C,118284.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a862d0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a953f0>,126,True,True,False
n-Decanoic acid,17.7414,640.0,C10H20O2,521647,149,60.06,0.059779360577190147,CCCCCCCCCC(=O)O,2969.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a86570>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a95690>,0,True,False,False
"3,5-di-tert-Butyl-4-hydroxybenzaldehyde",17.7716,602.0,C15H22O2,81800,47,219.2,0.009374062719068937,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=O,73219.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a865e0>,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a95700>,132,True,False,False
