"Spectrum","Time","TIC"
72,427.19953248,2088835.628145979
73,427.29952608,2086071.103409875
74,427.39951968,2083684.312124898
75,427.49951328,2081790.638251568
76,427.59950688,2080415.34059164
77,427.69950048,2079555.721377093
78,427.79949408,2079271.945709108
79,427.89948768,2079688.075669262
80,427.99948128,2080911.552676308
81,428.09947488,2082982.772107085
82,428.19946848,2085789.738837971
83,428.29946208,2089120.767420133
84,428.39945568,2092683.6115501
85,428.49944928,2096193.462748755
86,428.59944288,2099413.743783654
87,428.69943648,2102244.344179423
88,428.79943008,2104679.111866288
89,428.89942368,2106666.143138154
90,428.99941728,2108182.894916258
91,429.09941088,2109118.026987453
92,429.19940448,2109384.988546974
93,429.29939808,2108986.57528324
94,429.39939168,2108008.030437146
95,429.49938528,2106627.10516217
96,429.59937888,2105015.364207393
97,429.69937248,2103275.919674996
98,429.79936608,2101386.456453953
99,429.89935968,2099288.269445698
100,429.99935328,2097027.584762698
101,430.09934688,2094560.562434736
102,430.19934048,2092039.279542306
103,430.29933408,2089621.121553904
104,430.39932768,2087469.228594351
105,430.49932128,2085766.52582756
106,430.59931488,2084705.297028686
107,430.69930848,2084583.690783102
108,430.79930208,2085864.897452862
109,430.89929568,2089167.881674054
110,430.99928928,2095200.125202981
111,431.09928288,2104718.083040076
112,431.19927648,2118641.993335902
113,431.29927008,2137863.011714804
114,431.39926368,2163243.286079287
115,431.49925728,2195516.816353151
116,431.59925088,2235286.81218427
117,431.69924448,2283017.91800037
118,431.79923808,2338910.527109659
119,431.89923168,2402806.755555012
120,431.99922528,2474175.782567778
121,432.09921888,2552104.586261683
122,432.19921248,2635365.97705874
123,432.29920608,2722492.709217841
124,432.39919968,2811915.930461417
125,432.49919328,2902100.789354949
126,432.59918688,2991625.562467068
127,432.69918048,3079117.2168428
128,432.79917408,3163213.81260502
129,432.89916768,3242684.233276715
130,432.99916128,3316579.460816353
131,433.09915488,3384303.425618005
132,433.19914848,3445662.791812435
133,433.29914208,3500731.97705103
134,433.39913568,3549754.252443091
135,433.49912928,3593070.918528806
136,433.59912288,3630957.102165353
137,433.69911648,3663552.174712351
138,433.79911008,3691032.376153203
139,433.89910368,3713799.145668161
140,433.99909728,3732430.542817293
141,434.09909088,3747443.734969944
142,434.19908448,3759158.648704104
143,434.29907808,3767691.308841521
144,434.39907168,3773053.555112258
145,434.49906528,3775139.293611569
146,434.59905888,3773666.649783924
147,434.69905248,3768439.703799787
148,434.79904608,3759602.078049037
149,434.89903968,3747507.662582636
150,434.99903328,3732455.972178422
151,435.09902688,3714608.377808645
152,435.19902048,3694215.887623595
153,435.29901408,3671771.57350798
154,435.39900768,3647938.597127623
155,435.49900128,3623462.475707987
156,435.59899488,3599184.288547334
157,435.69898848,3576048.758430955
158,435.79898208,3554940.37446611
159,435.89897568,3536378.43983458
160,435.99896928,3520463.043986937
161,436.09896288,3507047.610226408
162,436.19895648,3495919.061142291
163,436.29895008,3486772.609034246
164,436.39894368,3479218.522030843
165,436.49893728,3472797.19750064
166,436.59893088,3467022.08284018
167,436.69892448,3461426.384617873
168,436.79891808,3455616.30282639
169,436.89891168,3449218.151956182
170,436.99890528,3441954.614069087
171,437.09889888,3433752.124618594
172,437.19889248,3424730.534274252
173,437.29888608,3415116.515171198
174,437.39887968,3405187.437526256
175,437.49887328,3395104.429761196
176,437.59886688,3384921.686008253
177,437.69886048,3374613.525278254
178,437.79885408,3364054.481670415
179,437.89884768,3353061.227759187
180,437.99884128,3341504.646166751
181,438.09883488,3329329.071206601
182,438.19882848,3316496.153305581
183,438.29882208,3302973.155371862
184,438.39881568,3288769.267262615
185,438.49880928,3273948.662531413
186,438.59880288,3258735.974553375
187,438.69879648,3243544.731538363
188,438.79879008,3228817.152627323
189,438.89878368,3214772.967872366
190,438.99877728,3201292.181745779
191,439.09877088,3188241.935737654
192,439.19876448,3175558.414578171
193,439.29875808,3163246.961174821
194,439.39875168,3151291.09439656
195,439.49874528,3139570.487489909
196,439.59873888,3127821.321794599
197,439.69873248,3115589.362112192
198,439.79872608,3102237.271134122
199,439.89871968,3087240.101397885
200,439.99871328,3070673.707617105
201,440.09870688,3053306.744318071
202,440.19870048,3035799.297425089
203,440.29869408,3018583.009127629
204,440.39868768,3001905.364558106
205,440.49868128,2985979.774383167
206,440.59867488,2971007.817029973
207,440.69866848,2957165.051754294
208,440.79866208,2944663.377740819
209,440.89865568,2933733.031441433
210,440.99864928,2924437.540566586
211,441.09864288,2916451.324519488
212,441.19863648,2909042.272547523
213,441.29863008,2901605.824585725
214,441.39862368,2893775.469880359
215,441.49861728,2885351.315563343
216,441.59861088,2876121.620669227
217,441.69860448,2865891.842295015
218,441.79859808,2854555.411393519
219,441.89859168,2842082.61208152
220,441.99858528,2828572.513900148
221,442.09857888,2814281.785118457
222,442.19857248,2799570.893612287
223,442.29856608,2784911.81884869
224,442.39855968,2770740.195386536
225,442.49855328,2757283.791086703
226,442.59854688,2744603.095716244
227,442.69854048,2732774.352706233
228,442.79853408,2721926.079367795
229,442.89852768,2712189.849220032
230,442.99852128,2703653.938181968
231,443.09851488,2696293.314925679
232,443.19850848,2690044.379372949
233,443.29850208,2684846.822578928
234,443.39849568,2680555.134265642
235,443.49848928,2676935.456875058
236,443.59848288,2673851.15197373
237,443.69847648,2671293.723546252
238,443.79847008,2669257.559488257
239,443.89846368,2667686.765941415
240,443.99845728,2666535.609376578
241,444.09845088,2665778.289803405
242,444.19844448,2665423.972948807
243,444.29843808,2665376.743892177
244,444.39843168,2665424.535295219
245,444.49842528,2665341.847495805
246,444.59841888,2664989.969730543
247,444.69841248,2664259.444670113
248,444.79840608,2663052.741297706
249,444.89839968,2661356.306846829
250,444.99839328,2659239.938558924
251,445.09838688,2656722.938507193
252,445.19838048,2653762.741958551
253,445.29837408,2650265.092262275
254,445.39836768,2646234.711241754
255,445.49836128,2641838.451876132
256,445.59835488,2637306.127602618
257,445.69834848,2632860.97911621
258,445.79834208,2628646.78289
259,445.89833568,2624674.413937461
260,445.99832928,2620803.916263358
261,446.09832288,2616810.905327013
262,446.19831648,2612564.136365777
263,446.29831008,2608107.698234174
264,446.39830368,2603598.282816551
265,446.49829728,2599178.350089629
266,446.59829088,2594812.150325699
267,446.69828448,2590370.27673234
268,446.79827808,2585643.502913322
269,446.89827168,2580467.533439457
270,446.99826528,2574838.955087606
271,447.09825888,2568891.120780522
272,447.19825248,2562743.026487635
273,447.29824608,2556393.367396295
274,447.39823968,2549707.166688119
275,447.49823328,2542556.476939757
276,447.59822688,2534814.640461173
277,447.69822048,2526482.680089488
278,447.79821408,2517663.480471495
279,447.89820768,2508565.017154617
280,447.99820128,2499400.857577879
281,448.09819488,2490275.44993125
282,448.19818848,2481202.470240399
283,448.29818208,2472256.488538676
284,448.39817568,2463569.587935984
285,448.49816928,2455248.41501621
286,448.59816288,2447283.257602009
287,448.69815648,2439661.541894013
288,448.79815008,2432331.064588957
289,448.89814368,2425209.779770516
290,448.99813728,2418163.736776324
291,449.09813088,2411210.75181701
292,449.19812448,2404435.729229535
293,449.29811808,2397952.154101109
294,449.39811168,2391816.53232985
295,449.49810528,2386088.625831341
